"Title","Default language","Default text","ja text","Variant status","Placeholder"
"7.1::Liferay Enterprise Search Card Description","English","An add-on subscription for managing enterprise-scale search in your Liferay DXP projects. ","エンタープライズ向けのサーチ管理ができる、　アドオンサブスクリプション","Active","dc.7_1-liferay_enterprise_search_card_description"
"7.1::Liferay Sync Card","English","Liferay Sync","Liferay Sync","Active","dc.7_1-liferay_sync_card"
"7.1::Liferay Sync Card Description","English","An enterprise file syncing and sharing service from desktop and mobile devices.","デスクトップやモバイル端末から行える　　　　エンタープライズファイル同期とシェアサービス","Active","dc.7_1-liferay_sync_card_description"
"7.1::Mobile Experience Platform Card","English","Mobile Experience Platform","Mobile Experience Platform","Active","dc.7_1-mobile_experience_platform_card"
"7.1::Mobile Experience Platform Card Description","English","Deliver responsive, native or hybrid mobile experiences with one development platform.","レスポンシブなモバイルエクスペリエンスを提供する開発プラットフォーム","Active","dc.7_1-mobile_experience_platform_card_description"
"7.1::Page Heading","English","Liferay Digital Experience Platform 7.1","Liferay Digital Experience Platform 7.1","Active","dc.7_1-page_heading"
"7.1::Patching Tool Card","English","Patching Tool","パッチングツール","Active","dc.7_1-patching_tool_card"
"7.1::Patching Tool Card Description","English","Download the patching tool to install Liferay DXP 7.1 software updates.","Liferay DXP 7.1ソフトウェア更新に必要な　　　　パッチングツールをダウンロード","Active","dc.7_1-patching_tool_card_description"
"7.1::Security Advisories Card Description","English","Learn more about known security vulnerabilities and fixes for Liferay DXP.","Liferay DXPのセキュリティ脆弱性及び修正に　　ついて参照","Active","dc.7_1-security_advisories_card_description"
"7.1::Service Levels Card Description","English","Learn more about the benefits included with each enterprise subscription level.","各エンタープライズサブスクリプションの利点について詳しく見る","Active","dc.7_1-service_levels_card_description"
"7.1::Service Life Card Description","English","Reference the end of life policy for Liferay DXP 7.1.","Liferay DXP 7.1のサービス終了ポリシーを参照","Active","dc.7_1-service_life_card_description"
"7.1::Service Packs Archive Card","English","Service Packs Archive","アーカイブされたサービスパック","Active","dc.7_1-service_packs_archive_card"
"7.1::Service Packs Archive Card Description","English","Access previous service pack releases for Liferay DXP 7.1.","Liferay DXP7.1の過去のサービスパックへアクセス","Active","dc.7_1-service_packs_archive_card_description"
"7.1::Support Coverage Card Description","English","Reference support coverage details for all Liferay products.","全Liferay製品のサポートポリシーを参照","Active","dc.7_1-support_coverage_card_description"
"7.1::Support FAQs Card Description","English","Browse through answers to common support-related questions.","サポートに関するよくある質問を確認","Active","dc.7_1-support_faqs_card_description"
"7.1::Support Information Tab","English","Support Information","サポート情報","Active","dc.7_1-support_information_tab"
"7.1::Top Resources Tab","English","Top Resources","おすすめのリソース","Active","dc.7_1-top_resources_tab"
"7.1::Upgrading Card","English","Upgrading","アップグレード","Active","dc.7_1-upgrading_card"
"7.1::Upgrading Card Description","English","Reference a collection of resources to assist you with upgrading to Liferay DXP 7.1.","Liferay DXP 7.1へのアップグレードに役立つ資料を参照","Active","dc.7_1-upgrading_card_description"
"7.1::Whitepapers Card","English","Whitepapers","ホワイトペーパー","Active","dc.7_1-whitepapers_card"
"7.1::Whitepapers Card Description","English","Reference technical briefs on topics including deployment, upgrading, and performance. ","デプロイメント、パフォーマンスベンチマーク、アップグレード等のテクニカル資料を参照","Active","dc.7_1-whitepapers_card_description"
"Administering Liferay Analytics Cloud","English","Administering Liferay Analytics Cloud","Liferay Analytics Cloudの管理","Active","dc.administering_liferay_analytics_cloud"
"Admin Guide","English","Admin Guide","管理者ガイド","Active","dc.admin_guide"
"Footer_All Rights Reserved","English","All Rights Reserved","All Rights Reserved","Active","dc.all_rights_reserved"
"Analytics Cloud","English","Analytics Cloud","Analytics Cloud","Active","dc.analytics_cloud"
"Analytics Cloud::Admin Guide Card Description","English","Learn how to use all the features in Liferay Analytics Cloud.","Liferay Analytics Cloudの各機能の使い方を学ぶ","Active","dc.analytics_cloud-admin_guide_card_description"
"Analytics Cloud::Feature Requests Card","English","Feature Requests","機能追加リクエスト（英語）","Active","dc.analytics_cloud-feature_requests_card"
"Analytics Cloud::Feature Requests Card Description","English","Reference a list of feature requests and their current status.","機能追加リクエスト一覧と現在の進捗状況を参照 ","Active","dc.analytics_cloud-feature_requests_card_description"
"Analytics Cloud::Getting Started Card","English","Getting Started","はじめに（英語）","Active","dc.analytics_cloud-getting_started_card"
"Analytics Cloud::Getting Started Card Description","English","Learn how to start adding and managing your data sources for Liferay Analytics Cloud.","Liferay Analytics Cloudのデータソースの　追加と管理をはじめる ","Active","dc.analytics_cloud-getting_started_card_description"
"Analytics Cloud::Known Issues Card","English","Known Issues","既知の問題（英語）","Active","dc.analytics_cloud-known_issues_card"
"Analytics Cloud::Known Issues Card Description","English","Reference existing known issues that have been documented for Liferay Analytics Cloud.","Liferay Analytics Cloudで報告された既知の問題を参照 ","Active","dc.analytics_cloud-known_issues_card_description"
"Analytics Cloud::Page Heading","English","Liferay Analytics Cloud","Liferay Analytics Cloud（英語リリースのみ）","Active","dc.analytics_cloud-page_heading"
"Analytics Cloud::Support Coverage Card Description","English","Learn more about support coverage for Liferay Analytics Cloud.","Liferay Analytics Cloudのサポート範囲に　ついて詳しく見る","Active","dc.analytics_cloud-support_coverage_card_description"
"Analytics Cloud Documentation","English","Analytics Cloud Documentation","Analytics Cloud資料","Active","dc.analytics_cloud_documentation"
"Avatar","English","Avatar","Avatar","Active","dc.avatar"
"Browse by Product","English","Browse by Product","製品から探す","Active","dc.browse_by_product"
"Category::Product Support","English","Product Support","製品サポート","Active","dc.category-product_support"
"Commerce::Admin Guide Card Description","English","Learn how to use all the features in Liferay Commerce.","Liferay Commerceの各機能の使い方を学ぶ","Active","dc.commerce-admin_guide_card_description"
"Commerce::Compatibility Matrix Card Description","English","Learn about supported configurations for Liferay Commerce.","Liferay Commerceのサポートされている　設定を確認","Active","dc.commerce-compatibility_matrix_card_description"
"Commerce::Latest Release Card Description","English","Download and install the latest version of Liferay Commerce. ","Liferay Commerceの最新のバージョンの　ダウンロードとインストール","Active","dc.commerce-latest_release_card_description"
"Commerce::Page Heading","English","Liferay Commerce","Liferay Commerce（英語リリースのみ）","Active","dc.commerce-page_heading"
