"Title","Default language","Default text","zh-tw text","Variant status","Placeholder"
"Sub-Status::Reproduced","English","Reproduced","","","dc.sub-status-reproduced"
"Sub-Status::Resolution Planning","English","Resolution Planning","","","dc.sub-status-resolution_planning"
"Sub-Status::Solution Proposed","English","Solution Proposed","","","dc.sub-status-solution_proposed"
"Subject Ticket Field - Title","English","Subject","","","dc.subject_ticket_field_-_title"
"Submit a Ticket","English","Submit a Ticket","","","dc.submit_a_ticket"
"Support","English","Support","","","dc.support"
"Support Information","English","Support Information","","","dc.support_information"
"System Status::Inoperable / Down","English","Production - Inoperable / Down","","","dc.system_status-inoperable_down"
"System Status::Non-Production - Inoperable / Down","English","Non Production - Inoperable / Down","","","dc.system_status-non-production_-_inoperable_down"
"System Status::Non-Production - Unstable","English","Non Production - Unstable","","","dc.system_status-non-production_-_unstable"
"System Status::Production - Unstable","English","Production - Unstable","","","dc.system_status-production_-_unstable"
"Component::APIO Architect","English","APIO Architect","","","dc.ticket_view-apio_architect"
"Ticket View::Assignee","English","Assignee","","","dc.ticket_view-assignee"
"Ticket View::Component (Commerce)","English","Component","","","dc.ticket_view-component_commerce"
"Ticket View::Component (DXP)","English","Component","","","dc.ticket_view-component_dxp"
"Ticket View::Component (Portal)","English","Component","","","dc.ticket_view-component_portal"
"Ticket View::Description","English","Description","","","dc.ticket_view-description"
"Ticket View::File Attachment","English","Add large files over 20MB here","","","dc.ticket_view-file_attachment"
"Ticket View::Priority","English","Priority","","","dc.ticket_view-priority"
"Ticket View::Product","English","Product","","","dc.ticket_view-product"
"Ticket View::Sub-Status","English","Sub-Status","","","dc.ticket_view-sub-status"
"Ticket View::Subject","English","Subject","","","dc.ticket_view-subject"
"Ticket View::System Status","English","System Status","","","dc.ticket_view-system_status"
"View All","English","View All","","","dc.view_all"
"We are sorry but you do not have access to submit a support ticket","English","We are sorry, but you do not have access to submit a support ticket.","","","dc.we_are_sorry_but_you_do_not_have_access_to_submit_a_support_ticket"
